batsman,bowler,inning,batsman_runs,is_wicket
RV Uthappa,CH Morris,74,53,3
SR Watson,AR Patel,71,53,6
KD Karthik,M Muralitharan,68,53,3
JC Buttler,KH Pandya,66,53,0
AB de Villiers,SR Watson,65,53,1
KD Karthik,B Kumar,63,53,1
SK Raina,SR Watson,62,53,2
G Gambhir,MC Henriques,61,53,2
G Gambhir,MS Gony,58,53,2
DJ Hussey,A Mishra,57,53,0
KD Karthik,JH Kallis,56,53,1
GC Smith,Z Khan,54,53,1
AB de Villiers,MC Henriques,50,53,1
RA Tripathi,SP Narine,50,53,0
AB de Villiers,HV Patel,46,53,0
AM Rahane,DJ Bravo,44,53,1
SS Iyer,UT Yadav,41,53,0
CH Gayle,HH Pandya,38,53,1
CH Gayle,MM Patel,27,53,2
SS Iyer,Shivam Mavi,16,53,1
G Gambhir,R Ashwin,90,52,2
AB de Villiers,AR Patel,80,52,1
PA Patel,P Kumar,76,52,3
AM Rahane,KV Sharma,71,52,3
DA Warner,A Mishra,70,52,3
V Sehwag,MM Patel,69,52,3
DA Warner,JJ Bumrah,68,52,0
AM Rahane,AD Mathews,62,52,1
PA Patel,Mohammed Shami,59,52,2
RG Sharma,SK Warne,58,52,4
MS Bisla,R Ashwin,56,52,0
GJ Maxwell,SP Narine,55,52,2
M Vijay,I Sharma,55,52,0
RR Pant,YS Chahal,53,52,1
DA Warner,MJ McClenaghan,52,52,2
AT Rayudu,MM Sharma,51,52,6
DA Warner,KA Pollard,50,52,0
Ishan Kishan,K Rabada,50,52,1
RV Uthappa,JJ Bumrah,50,52,2
S Dhawan,JD Unadkat,46,52,0
AR Patel,RA Jadeja,43,52,0
SS Iyer,JJ Bumrah,43,52,1
AD Russell,AR Patel,42,52,1
G Gambhir,RP Singh,42,52,2
AB de Villiers,P Kumar,41,52,0
RG Sharma,AB Agarkar,40,52,1
MK Pandey,JJ Bumrah,37,52,0
KA Pollard,SM Curran,36,52,1
V Kohli,M Prasidh Krishna,28,52,0
CH Gayle,R Ashwin,93,51,5
JH Kallis,RP Singh,85,51,4
PA Patel,DW Steyn,78,51,1
SV Samson,AR Patel,78,51,3
KS Williamson,YS Chahal,74,51,1
F du Plessis,A Mishra,69,51,0
CH Gayle,MJ McClenaghan,66,51,1
SK Raina,Kuldeep Yadav,66,51,2
SE Marsh,MM Patel,65,51,1
RV Uthappa,Mohammed Shami,62,51,1
MK Pandey,KV Sharma,61,51,2
S Dhawan,PP Ojha,61,51,2
M Vijay,R Vinay Kumar,59,51,1
AB de Villiers,KH Pandya,58,51,4
S Dhawan,JA Morkel,58,51,1
CA Lynn,TG Southee,56,51,0
F du Plessis,Sandeep Sharma,55,51,2
