bowler,batsman,inning,is_wicket,batsman_runs
DJ Bravo,SL Malinga,16,2,2
SP Narine,MG Johnson,22,2,15
DJ Bravo,KK Nair,19,2,41
AJ Tye,HH Pandya,35,2,27
SL Malinga,GH Vihari,26,2,17
KA Pollard,Yuvraj Singh,29,2,32
SK Warne,PA Patel,31,2,25
AB McDonald,SE Marsh,9,2,9
JP Faulkner,V Sehwag,6,2,12
JJ Bumrah,SV Samson,73,2,46
JP Faulkner,RV Uthappa,38,2,30
JJ Bumrah,WP Saha,55,2,36
JJ Bumrah,YK Pathan,28,2,18
AD Mathews,PA Patel,16,2,14
SK Warne,MS Bisla,34,2,19
DL Vettori,S Badrinath,16,2,10
SL Malinga,TM Dilshan,88,2,61
DL Chahar,Q de Kock,81,2,81
SL Malinga,SS Iyer,19,2,10
AD Mathews,M Vijay,15,2,11
SL Malinga,SK Raina,82,2,71
JP Faulkner,PA Patel,20,2,15
SL Malinga,SE Marsh,46,2,34
SL Malinga,PP Chawla,30,2,11
SK Warne,AB de Villiers,44,2,43
SM Curran,SPD Smith,27,2,18
SK Trivedi,Yuvraj Singh,61,2,47
DL Chahar,AJ Finch,17,2,14
JJ Bumrah,KL Rahul,110,2,93
AD Russell,CH Gayle,72,2,82
SK Trivedi,JP Duminy,41,2,24
AD Russell,BB McCullum,14,2,3
SM Pollock,SC Ganguly,7,2,5
SK Trivedi,KC Sangakkara,19,2,23
DP Nannes,AC Gilchrist,38,2,45
SK Trivedi,M Vijay,25,2,29
SK Trivedi,V Kohli,41,2,33
JJ Bumrah,RK Singh,7,2,6
JJ Bumrah,RV Uthappa,50,2,52
JJ Bumrah,SK Raina,62,2,50
JJ Bumrah,SM Curran,14,2,18
DL Chahar,BA Stokes,29,2,18
SK Trivedi,RP Singh,7,2,1
SK Trivedi,SC Ganguly,57,2,40
DL Chahar,RG Sharma,31,2,35
SL Malinga,P Negi,21,2,17
JJ Bumrah,AB de Villiers,90,2,99
SL Malinga,Mandeep Singh,14,2,10
JP Faulkner,A Mishra,3,2,0
SL Malinga,M Vijay,66,2,43
JP Duminy,Yuvraj Singh,37,2,14
SL Malinga,M Manhas,12,2,4
AD Mascarenhas,SC Ganguly,7,2,6
SL Malinga,LRPL Taylor,29,2,5
AD Mascarenhas,RV Uthappa,14,2,11
SL Malinga,KM Jadhav,36,2,27
SL Malinga,DA Warner,84,2,74
SL Malinga,KC Sangakkara,35,2,19
JP Duminy,V Sehwag,11,2,14
JP Duminy,SE Marsh,13,2,8
SL Malinga,DJ Hooda,4,2,0
SL Malinga,K Goel,11,2,6
SL Malinga,DW Steyn,18,2,4
SL Malinga,F du Plessis,55,2,23
SL Malinga,IK Pathan,25,2,19
SL Malinga,CH Morris,8,2,2
DL Vettori,BB McCullum,27,2,25
SL Malinga,BJ Hodge,75,2,41
SL Malinga,A Mishra,24,2,5
JP Faulkner,MS Dhoni,49,2,48
SL Malinga,MS Dhoni,110,2,89
JO Holder,Yuvraj Singh,7,2,8
SK Warne,TM Dilshan,34,2,21
JP Faulkner,KD Karthik,36,2,22
SL Malinga,MEK Hussey,55,2,41
JP Duminy,DA Miller,40,2,14
SL Malinga,AB Dinda,10,2,1
SL Malinga,MA Agarwal,11,2,15
JP Faulkner,DJG Sammy,9,2,11
SL Malinga,AD Russell,15,2,26
SL Malinga,AJ Finch,21,2,13
JP Duminy,DA Warner,30,2,20
JP Faulkner,BB Samantray,12,2,7
AD Mathews,AC Gilchrist,38,2,19
JP Faulkner,AT Rayudu,28,2,18
SK Trivedi,JH Kallis,58,2,38
AD Russell,CR Brathwaite,3,2,6
JJ Bumrah,KK Nair,16,2,7
SK Trivedi,G Gambhir,58,2,33
AG Murtaza,NV Ojha,10,2,2
SL Malinga,G Gambhir,73,2,39
SB Jakati,JH Kallis,76,2,56
SB Jakati,KD Karthik,32,2,26
KA Pollard,DW Steyn,6,2,8
SB Jakati,S Dhawan,44,2,27
AB Dinda,S Dhawan,43,2,33
SN Thakur,STR Binny,22,2,9
SB Jakati,SR Tendulkar,94,2,60
SB Jakati,SS Tiwary,36,2,14
SB Jakati,V Kohli,86,2,74
JJ Bumrah,CA Lynn,32,2,33
SN Thakur,PA Patel,53,2,46
SB Jakati,YK Pathan,34,2,28
K Rabada,Washington Sundar,16,2,11
SB Styris,R Dravid,27,2,25
K Rabada,V Kohli,29,2,20
SB Jakati,DR Smith,46,2,31
SB Jakati,BB McCullum,55,2,32
AB Dinda,RG Sharma,45,2,58
AJ Tye,AD Russell,29,2,43
KA Pollard,YK Pathan,39,2,31
SP Narine,CH Gayle,131,2,65
KA Pollard,STR Binny,2,2,0
AB Dinda,PA Patel,88,2,54
AB Dinda,PC Valthaty,12,2,1
KA Pollard,SR Watson,25,2,24
SP Narine,Azhar Mahmood,6,2,1
SP Narine,AT Rayudu,87,2,45
JJ Bumrah,AT Rayudu,42,2,33
KA Pollard,S Badrinath,69,2,49
AB Dinda,Q de Kock,22,2,30
AG Murtaza,V Sehwag,14,2,6
SP Narine,AD Mathews,24,2,25
KA Pollard,ML Hayden,6,2,4
KA Pollard,MK Tiwary,37,2,39
SB Jakati,AB de Villiers,50,2,55
K Rabada,SP Narine,13,2,4
K Rabada,SA Yadav,39,2,27
K Rabada,S Dube,15,2,8
SK Raina,S Dhawan,51,2,29
AD Russell,MA Agarwal,33,2,21
AD Russell,M Vohra,25,2,18
K Gowtham,RV Uthappa,25,2,7
SK Raina,PP Ojha,8,2,0
AD Russell,KK Nair,29,2,28
AB Dinda,TM Dilshan,34,2,22
SN Thakur,JC Buttler,68,2,57
SK Raina,Yuvraj Singh,82,2,55
AD Russell,MP Stoinis,8,2,0
JJ Bumrah,JP Faulkner,30,2,27
AB Dinda,VVS Laxman,10,2,4
AD Russell,E Lewis,4,2,2
JJ Bumrah,K Rabada,43,2,16
SN Thakur,CR Brathwaite,19,2,40
Joginder Sharma,DJ Bravo,8,2,1
SK Trivedi,DPMD Jayawardene,42,2,31
SK Raina,GC Smith,21,2,18
SN Thakur,KH Pandya,10,2,7
SN Thakur,N Pooran,3,2,1
AB Dinda,SS Tiwary,32,2,21
SN Thakur,Mandeep Singh,10,2,16
SC Ganguly,IK Pathan,15,2,10
K Rabada,PA Patel,21,2,12
SN Thakur,MK Pandey,19,2,23
K Rabada,KD Karthik,11,2,6
AD Russell,SK Raina,21,2,22
AD Russell,SA Yadav,20,2,24
DP Nannes,JP Duminy,10,2,9
AD Russell,Q de Kock,29,2,37
K Rabada,JC Archer,12,2,1
SJ Srivastava,AT Rayudu,14,2,5
K Rabada,HH Pandya,26,2,33
SN Thakur,KS Williamson,54,2,38
K Rabada,GJ Maxwell,26,2,13
K Rabada,F du Plessis,19,2,16
JJ Bumrah,HV Patel,13,2,10
SN Thakur,Shubman Gill,11,2,5
RJ Harris,BJ Hodge,18,2,22
KV Sharma,SP Narine,12,2,11
CH Morris,RA Jadeja,15,2,14
PP Chawla,GJ Bailey,38,2,31
PP Chawla,HH Gibbs,42,2,30
PP Chawla,JJ Roy,14,2,6
BA Bhatt,JH Kallis,58,2,34
PP Chawla,KL Rahul,24,2,32
PP Chawla,KM Jadhav,18,2,13
MJ Santner,SP Narine,8,2,1
PP Chawla,M Vijay,41,2,33
PP Chawla,M Vohra,14,2,19
PP Chawla,MA Agarwal,16,2,19
MJ McClenaghan,Yuvraj Singh,34,2,38
PP Chawla,MS Bisla,46,2,12
PP Chawla,MS Dhoni,75,2,82
CH Morris,P Negi,7,2,8
MJ McClenaghan,WP Saha,34,2,38
PP Chawla,NV Ojha,63,2,55
MJ McClenaghan,SS Iyer,52,2,61
MJ McClenaghan,SP Narine,5,2,4
PP Chawla,PP Shaw,40,2,47
