,id,players,calc_balls_played,calc_runs,is_wicket,calc_balls_bowled,calc_wickets_taken,fantasy_points
410,410,S Kaul,1,4,0,30,1,29
411,411,S Kaushik,0,0,0,115,2,50
412,412,S Ladda,0,0,0,62,2,50
413,413,S Lamichhane,0,0,0,20,1,25
414,414,S Nadeem,0,2,0,47,1,27
415,415,S Narwal,8,9,0,34,1,33
416,416,S Rana,14,18,0,0,0,17
417,417,S Randiv,0,2,0,44,1,27
418,418,S Sohal,16,20,0,0,0,19
419,419,S Sreesanth,4,11,0,36,1,35
420,420,S Sriram,6,15,0,0,0,15
421,421,S Tyagi,0,0,0,123,2,50
422,422,S Vidyut,17,18,0,24,1,42
423,423,SA Abbott,13,15,0,0,0,15
424,424,SA Asnodkar,18,22,0,0,0,21
425,425,SA Yadav,28,31,0,0,0,30
426,426,SB Bangar,4,8,0,62,2,58
427,427,SB Jakati,13,14,0,44,1,38
428,428,SB Joshi,0,3,0,253,3,77
429,429,SB Styris,10,18,0,46,1,42
430,430,SB Wagh,0,1,0,34,1,26
431,431,SC Ganguly,16,24,0,48,1,47
432,432,SD Chitnis,11,14,0,32,1,38
433,433,SD Lad,8,15,0,0,0,15
434,434,SE Bond,0,1,0,32,1,26
435,435,SE Marsh,34,38,0,0,0,38
436,436,SE Rutherford,11,14,0,130,2,63
437,437,SJ Srivastava,4,5,0,37,1,29
438,438,SK Raina,30,33,0,79,2,82
439,439,SK Trivedi,2,5,0,35,1,29
440,440,SK Warne,5,10,0,28,1,35
441,441,SL Malinga,3,7,0,18,1,31
442,442,SM Curran,25,23,0,28,1,47
443,443,SM Harwood,0,0,0,36,1,25
444,444,SM Katich,15,24,0,0,0,24
445,445,SM Pollock,16,18,0,28,1,42
446,446,SMSM Senanayake,4,10,0,28,1,35
447,447,SN Khan,20,22,0,0,0,21
448,448,SN Thakur,7,9,0,29,1,33
449,449,SO Hetmyer,19,21,0,0,0,21
450,450,SP Fleming,14,21,0,0,0,21
451,451,SP Goswami,11,14,0,0,0,14
452,452,SP Jackson,13,19,0,0,0,19
453,453,SP Narine,18,18,0,25,1,42
454,454,SPD Smith,25,32,0,0,0,31
455,455,SR Tendulkar,24,32,0,0,0,31
456,456,SR Watson,25,30,0,29,1,54
457,457,SS Cottrell,0,0,0,39,1,25
458,458,SS Iyer,25,30,0,0,0,30
459,459,SS Shaikh,0,0,0,0,0,0
460,460,SS Tiwary,22,28,0,0,0,28
461,461,ST Jayasuriya,24,26,0,31,1,51
462,462,STR Binny,16,20,0,35,1,44
463,463,SV Samson,22,28,0,0,0,28
464,464,SW Billings,16,17,0,0,0,17
465,465,SW Tait,4,7,0,34,1,31
466,466,Sachin Baby,13,15,0,0,0,15
467,467,Salman Butt,25,27,0,0,0,27
468,468,Sandeep Sharma,3,8,0,25,1,33
469,469,Shahbaz Ahmed,0,0,0,28,1,25
470,470,Shahid Afridi,11,10,0,32,1,35
471,471,Shakib Al Hasan,18,21,0,30,1,45
472,472,Shivam Mavi,1,4,0,38,1,29
473,473,Shivam Sharma,8,5,0,68,2,55
474,474,Shoaib Ahmed,0,0,0,41,1,25
475,475,Shoaib Akhtar,0,2,0,8,0,2
476,476,Shoaib Malik,9,13,0,91,2,62
477,477,Shubman Gill,29,34,0,0,0,33
478,478,Sohail Tanvir,9,12,0,7,0,12
479,479,Sunny Gupta,0,0,0,0,0,0
480,480,Sunny Singh,8,10,0,0,0,10
481,481,Swapnil Singh,2,4,0,345,4,101
482,482,T Banton,4,9,0,0,0,9
483,483,T Henderson,3,11,0,82,2,61
484,484,T Kohli,1,3,0,0,0,3
485,485,T Natarajan,0,0,0,39,1,25
486,486,T Taibu,11,10,0,0,0,10
